nom,texte,multi_topics,multi_topics_no_threshold
Flip,"flip is a platform to expand on various interests in relation to current culture and artistic practice. the projects are the result of our international network and multidisciplinary collaborations. Continuous shifts in context invite inputs and spontaneous occurrences that contribute to the multi-layed and transnational discourse that characterizes flip.The locationThe last floor of the 1690 palazzo ruffo di castelcicala in the centre of napoli, forms the base location for flip.flip is a vision and a project in itself, not specific to a site, but rather an evolving network of activities and locales. Federico Del Vecchio (Naples, 1977) lives and works between Naples, Italy and Glasgow, UK. Del Vecchio is engaged in an independent artistic practice as well as co-curator of flip project space. After finishing his studies at the Academy of Fine Art in Naples, he attended the Städelschule in Frankfurt am Main, followed by completing the Master in Fine Art at The Glasgow School of Art. He was then at the HIAP – Helsinki International Artist in residence Program supported by 2012 Movin' Up prize for the mobility of young italian artists abroad. He is the recipient of the Marie Curie Research Fellowship 2015 at the University of Ljubljana, Slovenia.Ala Roushan (Pittsburgh, 1983) lives and works between Toronto, Canada and Napoli, Italy, engaged in speculative design research, writing, curatorial practice and teaching through which she explores the boundaries of design, art and architecture. She is the co-curator/co-director of flip project space. Ala holds an Assistant Professorship at OCAD University, Faculty of Design, Toronto. She is a Ph.D. candidate at the European Graduate School focused on Philosophy, Art & Critical Thought of the Digital. Her interests include investigating advanced digital processes and computational logics in unraveling the generative potential of material intelligence and emergent aesthetics. Ala obtained a Master of Arts in Advanced Architectural Design at the Städelschule Frankfurt, Germany.","[3, 4]","[1, 2, 3, 4, 5]"
TEC - Théorie des Espaces Courbes,"The TEC is an alternative art centre dedicated to exhibition projects in situ. It is a military artistic site, open to all the public free of charge, supported by the TEC 'friends' association. ""I was born in 1959 to be a creative artist and professional artist.I imagined this place of experimental exhibition to encourage the width, commitment and requirement of artists, with the idea that what is best for them is to mark the imaginations.""In the difference between art centers or prestigious galleries, the TEC prefers the economy. It is not limited to artists already recognized by the market but is not able to give a chance to talented but not sufficiently identified.It is time to affirm the rights of artists who are committed to the creation of the best of their imaginations.",[1],"[3, 4]"
Super F-97,"Micro place of experimental and independent exhibition, real estate and nomad, created by Laura Ben Haiiba and Rémi De Chiara in a 1997 Escort Ford.",[],[]
Studio Delta,"The Delta Studio is located at 158 rue Pierre de Roubaix in an old textile factory in the center of the city, in the continuation of the United Nations Avenue, in two streets of the Crossed Space, an art centre; but also of the different cultural actors of the Pile district gathered around the Collection Hall. The building is of industrial construction in concrete and brick of the north. It still offers light spaces supported by a metal structure in Eiffel. It is built on two floors, one roofed and one floor, it has a roof. In the back, 5 workshops of artists on the wall of a square of a square square of a square of a square of a square.",[],"[2, 6]"
Cabinet 44,"office of work, open occasionally for projects and exhibitions. Cabinet 44 is a hybrid space that operates primarily as a workshop extension for fundamental artists and aims to develop organically in an area dedicated to projects, exchanges and dialogues between artists. Founded and coordinated by artists Ioana Gheorghiu, Adelina Ivan, Ramon Saddik and Virginia Toma.",[],[]
MARS,"MARS is like a ""delegated accident"", a physical space and especially a project - which decides not to be too structured according to a classic calendar in order to progressively respond to the artistic needs of the different participants. MARS is like a ""potential box"" which, as a white cube as an aesthetically defective container, faces both diversity and inventivity.Each year on the site, a project call is open to a part of the Mars programme. Other projects are only on invitation and are managed directly by the executive. So we do not accept requests after the opening of the open call. Mars opens in Milan on 3 December 2008. It is a space managed by artists and destined for a curious audience to know more about contemporary art. The Pasteur space is born from an original idea of Lorenza Boisi and was initiated with the complexity of other artists a program for Mars, performance events, exhibitions and art, on the self-managed model.In the years following the MARS project, they participated: Alessandro Roma, Andrea Dojmi, Antonio Barletta, Dacia Manto, David Casini, Ivan Malerba, Jacopo Milliani, Laura Pugno, Lidia SANVITO, Lorenza Boisi, Luca Trevisani, Luigi Presicce, Manuel Cerutti, Nicola Gobccato, Nicolas Tobzato, Simona.",[],[1]
CONA,"CONA is an artists-run initiative that aims at creating an avenue for students, artists, designers, and professionals from different fields to come together. It intends to function as an ongoing mind space, a point of contact that shall kindle ideas, facilitate discourse, stimulating both thought and action. In a word, here is an adda for ideas, perspectives, happenings and people to meet, where they can work, think, participate in activities and projects that encompass disciplines, genres, times and lives Cona will work with the active and contributive involvement of every visitor participator. We intend to build a digital archive, a resource that can be accessed by all. For this we encourage all to volunteer, share and contribute in any form of data, footage, images, audio or other. A further extension of this archive would be collective engagements in the form of screenings or talks.Cona also offers part of the space as a venue for artist residencies and will also initiate a design centre.Our intention: neither to act as an exhibition space nor just a digital archive, but to be an active catalyst in a continuous situation where thoughts and experiences can be shared and can grow",[0],[]
PINCE,"A PINCE egy 2014 óta működő független artist-run space, melynek fő célja egy olyan közösségi tér megteremtése volt, melyben nyitott a kommunikáció és könnyedén szerveződhetnek kortárs művészeti beszédmódok. Jelenlegi működésében aktív helyet kapnak olyan projektek, melyek hasonló fókuszú, lokálisan művészetközvetítő szerepet vállaló hazai és külföldi kollektívákkal való együttműködésben jöttek létre. A tér adottságai miatt a hagyományos kiállítási sztenderdek helyett helyspecifikus megoldásokat igényel, így a kiállítási programban jelentős szerepük van az installatív vagy kísérleti jellegű koncepcióknak. - English - PINCE is an independent artist-run space founded in 2014, that aims at creating a social space with open communication and where contemporary art discourse can easily be organized. In its current schedule, PINCE gives place to collaborative projects with like-minded Hungarian and foreign collectives that take on a mediative role in their own local art community. The features of the space demand site-specific works instead of the traditional standards, therefore installation and experimental concepts are instrumental in the exhibition program.",[4],"[3, 5]"
VARIAe,"VARIAe is an area of production and dissemination of current art, whether they are visual, sound or media.Despite being a place of presentation of emerging multidisciplinary artists, VARIAe is also a space of reflection on contemporary artistic practices. It offers the public the opportunity to discover artists whose unique artistic design uses and questions media artists, whether they are visual, sound or media.VARIAe is considered a platform for developing projects in collaboration, reasoning and networks both at the local and international level. VARIAe is not a business-oriented structure, but a public service for artists, but a public service.",[4],"[1, 3, 4, 5]"
MEAN,"Production and dissemination space launched by Dominique Blais and Carole Rivalin was installed in the historic district of Méan-Penhoët in Saint-Nasaire, close to the shipyards.It was opened in November 2017 with the exhibition ""Minimum union"" of Swiss artists Delphine Reist and Laurent Faulon, proposed by the Ninth Collection Mojito Bay.",[2],"[2, 3, 4]"
CAMERA,"CAMERA is the artist-run space founded by Irina Dumitrașcu Măgurean, a visual artist based in Cluj-Napoca. CAMERA is focused on promoting the work of emerging visual artists, especially photography-related, as well as installation art, new media and mixed media.",[4],"[0, 1, 4, 5]"
La Confection Idéale,"The Ideal Package is a project for contemporary art located in an old fine lingerie shop. This exhibition space aims to show works of artists engaged in research processes that confer on their works a particular experimental character.This space is managed by the MAG000 Association, which consists of visual artists turned to the same goal: to keep an informed, specific and sensitive view of contemporary art in all its diversity and thus allow the disseminating of visual arts by various projects and initiatives.",[1],"[1, 4]"
Les Limbes,"The Limbes is a space for the dissemination and promotion of current and contemporary plastic arts, managed by the cephalopod Association. It is intended as a space for exchange on contemporary issues, a multidisciplinary experiment laboratory. Since 2012 it has not stopped working in its programming and objectives.Today it has three different levels of investment: exhibitions of artists and young creation, monographs or collectives; 2. workshops; 3. thematic events; and soon: conferences, residences, micro-editions. The Limbes have an area of 60 m2 located in the center of Limbes.",[0],"[0, 2, 3]"
La Couleuvre,"The ACOT is born of a common desire and commitment of a collective composed of most plastic artists, filmers and art theoryrs. It is defined as working together to promote artistic creation in all its forms, to help artists realize projects and disseminate them, to promote individual views. A book is published at the end of each exhibition in 50 copies, their sales will allow them to produce the following exhibition book. The space is intended to support ambitious projects sometimes outside of the selected circuits. ACOT will support the creation of visual arts under the same forms of arts, works of art, works of art.",[0],"[0, 1, 3, 4]"
Collectif  d'en face,"Collection of artists assembled in the same workshop to produce, exchange and sell art in all its forms - Open Wednesday and Friday on Saturday from 14 a.m. to 18 p.m.","[2, 3]",[2]
Atelier Silex,"The Ateleri Silex, a non-profit organization, was born in 1983 of the desire to group young sculptor artists on stone and on freshly graduated wood from the University of Quebec in Trois-Rivières. With its members and their artistic practice, the Ateleri Silex is gradually equipped with stone production equipment, wood, metal, and glass and becomes the owner of its premises in 1987.In the 1990s, the team of an exhibition hall, the Espace 0...3/4, which allows him to accept activities that promote research and production.","[2, 3]","[2, 4]"
Diptych,Diptych exhibits contemporary art while also serving as a creative space and art studio.,"[0, 4]",[4]
Le Hall,"The Hall is an association place for non-profit purposes that has a major vocation to disseminate to a wide audience the artistic projects of multiple forms, an overview of the current musical and artistic scene. The Hall allows young artists from ESADHAR to have their first personal exhibition. It also offers a programming with artists from different horizons to enhance the visibility of contemporary art in Rouen. The Hall was founded by the artists and the local recording studio of the premises and workshops whose space is the entrance hall. The current team of the Hall is composed of Kawtar Bekrentchir, artist, Simon Gervais, Elozercord, Albane Hupin, artist and Julie Toqcueville, artist.",[3],"[2, 3, 5]"
mezcla,"MEZCLA is an association for the promotion and mediation of contemporary art.The MEZCLA gallery and association open their doors after several years of age of maturity made of meetings, discussions, reflections with artists, artists, institutions, collectors and businesses. This project is built today thanks to the mobilization of all this network on the local, national and international level.",[0],"[2, 5]"
Palette Terre,"Palette Terre est fondée en Janvier 2014 par l'artiste Bastien Cosson, dans une pièce de son appartement orientée plein sud. Les visites à la galerie se font sur rdv ou durant les vernissages.Palette Terre was founded in January 2014 by the artist Bastien Cosson, on his 5th floor's apartment facing south. Visits to the gallery are by appointment or at openings. Do not hesitate to contact us.",[4],[]
France Fiction,"France Fiction is an artistic and curatorial collective created in 2004. France Fiction is an association exhibition space devoted to the emerging contemporary art. It is also the gathering point, the place of work and the main wine of the collective activities. The gallery is defined as a platform for creation formed by four artists: Stephen Argillet, Eric Camus, Nicolas Nakamoto and David TV. France Fiction presents and produces artistic projects: fashion editions, bands, posters, thematic exhibitions, catalogues, music, concerts. The gallery is a place of exchange and collective experimentation.",[2],"[1, 2, 3]"
CP5 / Collectif Curry Vavart,"Since 2006, Curry Vavart has developed workshops and temporary exhibition spaces, fully managed by artists, installed in damaged buildings to be rehabilitated in short or long term terms. The collective encourages collaborations and exchanges of knowledge, including those of collective artistic events. To this end, an exhibition space has been created in 18th, the ""CP5"". The collective group is composed of hundreds of volunteers and nearly 10,000 members and sympathis, and supports each year almost 150 associated projects and artists. It currently manages 2000m2 of workshops shared in 20th and 18th rounds, with the Parcoires of the Parcoires and the Coalitions of the Coalitions. The CP5 is a space of artistic exhibitions, located in the entrance hall of an old SNCF dresser, fully equipped with 5mm against this project. Two years ago, this building was located in the 18th district of Paris, welcoming the last workers of the SNCF Pulur site, currently in repair. The entrance hall is a place of choice: only and unique access to the clothing, shower and furniture, used by hundreds of wines each day, of wines intended for the display of its walls. Today, the disabled building has been invested by the harvesters of the SNCF and harvesters. Several volunteers encourage a plastic art commission within the collection Curry Vavart. This committee is piloting the operation of the CP5 exposure space. It examines the exhibition projects submitted to the collection, sets up a program that it validates throughout the collection at its plenary meeting, welcomes artists and accompanys the conduct of exhibitions, including from a logistical point of view. The host program is addressed to all artists or collective artists, without age limit, who can testify to a professional course in becoming or bearing members of a single curatorial project.",[2],"[1, 2, 6]"
La Maudite,"The activities include curating exhibitions, film screenings, organizing conferences, seminars and other research activities that interconnect with critical theory. It's also a document center on Brazilian contemporary art Directors: Beatriz Toledo and Wagner MoralesCommunication: Olga OlgorodovaFounders: Beatriz Toledo, Camila Bechelany and Wagner MoralesTrainees who passed by: Paulo Assumpção, Flavia Daroczi, Carolina Cataldi Pedrosa, Maëlic Beets, Laura Piasek and Valerie Vial La Maudite is an artists run space created by two artists and a researcher/curator based in Paris and is aimed at articulating art practices, curatorial practices and research. Situated in Belleville neighborhood, La Maudite is a platform for artistic and multidisciplinary projects in a variety of fields: visual arts, film, sound experiences, performance, and literature, among others. The activities include curating exhibitions, film screenings, organizing conferences, seminars and other research activities that interconnect with critical theory. It's also a document center on Brazilian contemporary art, which is constantly fed through donations. It aims to promote activities locally, nationally and internationally, collaborating with public and private institutions, involving artists and a wide array of communities to launch creative networks. MOT DE 2016- Dears all,It is sad but also a bit of relief that we write to inform you that since the beginning of April, we will no longer have physical space.Some times are both dark in France and Brazil, and this has certainly influenced us.The real reasons for this space's departure are the desire to reflect our format and role as managers and artists.Maudite will continue to exist, our desire to promote, expose, search and exchange around contemporary art is intact, and all this will be lost despite closure.Thanks to all of us having followed in our beautiful proposals, we will be able to do so quickly.",[4],"[0, 2, 4]"
Jeune création,"In 2006, the Youth Creation gallery opened at 24 rue Berthe in the 18th round of Paris. From 2009 to 2014, the Young Creation exhibition took place in Centquatre. Young Creation also develops a partnership policy at the national and international level in projects ""Hors des Mours"" and hosted artists, which encourage networks and artistic exchanges.In September 2015, the association joined the Fear Association of the Hospital Saint-Vincent-de-Paul to 82 Avenue Defert-Rochereau in the 14th round of ParisOn 20 October 2020, the Young Creation gallery was installed on the site of the Foundation Fiminco in the city of Paris. Young creation is an association of artists who, from 1950 to 1952, organizes an exhibition of art dedicated to young artists each year in Paris. Active since 1949, officially declared in February 1954 under the name ""Young Painting"", it changed its name in 20001. Its annual performance includes the name ""Salon of Young Painters"" from 1950 to 1952, to take that of ""Salon of Youth Painting"" from 1953 to 2000, then ""Young Creation"" from this latest date.",[2],"[2, 3, 5]"
Le Commissariat,"The Commission is a production structure for contemporary art exhibitions founded in 2006. It is at the initiative of fifty exhibitions and events in France and abroad, it presents the works of emerging and confirmed artists and regularly collaborates with invited Commissioners. The Commission is part of TRIIZE and shares its exhibition site and offices with Red Shoes, Gallien Djean and Ali_fib gigs. The Commission was founded in 2006 by Fayçal Bagriche, Mathieu Clainchard, Dorothée Dupuis and Vincent Ganivet. From 2008 to 2011, independent exhibits Commissioner Damien Airault provided the lead. In 2012, artists Mathis Collins, Sébastien Rémy and Cyril Green formed the new team. Caroline Mesquita and Nicolas Muller as active members organize each exhibition. Laura Lemarois participates in the organization of the exhibition Caravanseril energy-plus-exposure in the Belleville biennium. In 2013, Anne-Claire Duprat joins the Commission.",[2],"[1, 4]"
castillo/corrales,"castillo/corrales is a co-operatively run, non-profit contemporary art venue that includes an exhibition space, a bookstore and a publishing house. Established since 2007 in Paris – Belleville, it is managed by a group of artists, curators, writers and graphic designers. castillo/corrales was conceived as a new type of art institution, one that provides artists, professionals and audience with an intimate and informal environment conducive to experimentation, discussion and learning.The website presents the current and past exhibitions in the gallery space and elsewhere, as well as the events and some featured publications at Section 7 Books, the books of Paraguay Press, and our ongoing series The Social Life of the Book, and our ongoing series The Social Life of the Book and castillo/corrales today","[3, 4]","[2, 3, 5]"
Artcite Inc.,"Founded in 1982, Artcite Inc. is southwestern Ontario’s only incorporated, registered charitable, non-profit artist-run centre, founded, directed and managed by practicing professional artists in various disciplines. Dedicated exclusively to expanding the visibility of contemporary arts within our region and advancing the professional presentation, promotion and animation of contemporary art forms, Artcite maintains a balanced and diverse program of events, including: ten or more gallery and off-site exhibitions and site installations by Canadian and international artists; guest artist lectures, workshops and residencies; screenings of experimental film and video art; experimental music and audio; multi-disciplinary performances and special projects, including our annual, community-wide MayWorks Labour Arts Festival; our biennial, off-site Fahrenheit Festival of fire sculpture and performance; our Free 4 All Walls international street art mural project; our monthly Stitch ‘n’ Bitch and Artist Trading Cards sessions; and public readings by Canadian and international authors and poets. Located in the heart of Windsor’s downtown core (and only three minutes from the greater metropolitan Detroit area), Artcite’s highly visible, partially bisected storefront gallery space is particularly well suited to solo, two-person and group exhibitions, as well as installations that make full use of the gallery space and windows, and are politically or socially engaged.",[1],"[1, 4, 5]"
CONICAL,"Conical is an independent contemporary art space that supports the production and presentation of new work by local and international artists. With an interest in spatial, temporal and conceptual movements in visual art, Conical’s focus is on site-related activities, particularly those that embrace transient and fragmented responses to place. Emphasising a reciprocal exchange between artist and organization, Conical acts as an integral agent in the process of realizing exhibitions and projects. An opportunity is provided for both independent and represented artists to test or consolidate their practice. The provision of time, space and dialogue encourages risk and criticality. Over the past decade Conical has continued to evolve its operational model in response to the currencies of contemporary discourse. Director, Adrien Allen, shapes a flexible program of exhibitions and projects – both internally curated and application based. 2013In an increasingly crowded landscape providing a plethora of choices, Conical has built a particular set of conditions for artists to respond to. Over the past eleven years of continual programming much documentary material has been amassed, including images, text and recorded conversations. Some appears on our website, some has yet to be archived. For many reasons, now feels like the right time to consolidate, reflect upon and develop this material, both as a document and as an instigator of new projects. Beyond memorialising past activities the idea of a ‘living archive’ that further propels Conical’s self-reflexive agenda is of interest and has an exciting potential to manifest in a variety of forms, recasting the Conical project. Conical announces that our current exhibition is the final for the time being. After supporting spatial, temporal and conceptual practices in Melbourne since 2001 Conical will no longer operate an annual program of exhibitions. However, the space will continue to be used for Conical projects, and at other times may be available for hire (all enquiries to info@conical.org.au).",[0],"[1, 3, 4, 5]"
Treize,"Such a refugee in Paris, Treize is a space devoted to the production and programming of exhibitions, concerts, conferences, performances...Treize is a production structure, exhibitions, and edition of which members are Mathis Collins, Gallien Djean, Pascaline Morincôme, Olga Rosenblum, and Fanny Schulmann.On the basis of its activities, Treize regularly rewritten its methods of production, distribution, communication, and collaboration, thanks to the different competencies of its members (artists, commissioners, producers, artists, art critics, authors).",[],[4]
Sorbonne Artgallery,"The Sorbonne Artgallery is a contemporary art space located in the heart of the largest French university: The Sorbonne. Founded in 2016, Sorbonne Artgallery was taken by the Art&Flux research team under the direction of the University of Yann Toma.The Soufflot of the Sorbonne Centre, the Sorbonne Artgallery is the heart of this international knowledge institution with a rich and varied programming.In the spirit of an artist-run space, the space is intended to create a circuit of artistic experiences and knowledge shared between students.e.s, professor of art.",[2],"[4, 5]"
ARTsPLACE,"The Annapolis Region Community Arts Council (ARCAC) is a registered non-profit, charitable, community organization dedicated to encouraging and promoting the arts. Located in the beautiful Annapolis Valley, Nova Scotia; a place that artists seem to be naturally drawn to, ARCAC was founded by a group of artists in 1982. They began meeting in Annapolis Royal to explore ways of sharing their work and ideas with one another and with the community at large. They felt that if art was to survive as living cultural force, artists should take the first step toward demystifying the practice of art.ARCAC has developed a province-wide and national reputation for being able to generate interesting activities and opportunities within the community. Our membership currently comprises over 200 individuals and families who believe that involvement in the arts makes life both rewarding and fun. We run a year round schedule of workshops, classes, concerts,""coffee house"" evenings, readings, slide shows, talks and special events. Through our Scholarship Fund, we assist students of all ages who wish to pursue art-related courses of study.ARTsPLACE Artist-run Centre is run by an Exhibitions Committee of the ARCAC Board, comprised 100% of artists, to support and encourage serious artistic endeavours at all levels and of all sorts. Our exhibition schedule has been designed to reflect the role ARCAC plays as intermediary between the contemporary art world out there and the local community. ARTsPLACE is funded in-part by the Canada Council for the Arts, the Province of Nova Scotia and fundraising endeavours.",[1],"[1, 5]"
0gms,"0gms is an Artist-Run-Space based in Sofia, Bulgaria. The goal is to share experience and to develop a platform for art with Bulgarian and international artists. The first presentation of the project was done with a video presented in Salzburg at Salzburger Kunstverein and in Vienna during the Vienna Art Week in October 2009. In this video 0gms ridicules the importance of art market. Then 0gms started to develop exhibitions in a drawer (ICA Sofia, Cabaret Voltaire Zurich, Galerie Skuj Lubjana...). They participated also in Varna Biennale, organized an exhibition at WhiteSpace in Bangkok, participated twice to Vienna Art Fair (2011 -2012), Contemporary Istambul (2012), Scope Miami (2012) and organize since 2011 many exhibitions in their space in Sofia, Bulgaria.",[0],"[0, 5]"
Ateliê Coletivo 2E1,"""This is the last place of 2e1. It's sad if it wasn't for the great pleasure to think about everything that has been generated during these nearly 9 years of project. I've learned so much, met so many people, lived the most intense transformation of my life through the experience of this space/network/project/platform. I feel that a huge and deep appreciation for all the world and without exception. In 2010, in their study and follow-up group meetings, followed by Carolina Paz in her workshop, 2e1 was an idea, an idea. Her vocation, from the beginning, was her conviance and generation of knowledge related to contemporary visual arts. In 2012, the first laboratories of exhibition and project ""Fachada"" were held, where several artists were able to experience their ideas and share their creative processes with interested parties. From 2013, 2e1 began to account for the involvement of artists, critics and the generation of the world of contemporary visual arts.",[0],[4]
22 rue muller,"22RueMuller forms a non-profit independent project co-founded by LOUISE DUNETON + ALICE GAVIN + VALENTIN BIGEL. We all decide, as guests, to stop the activity of 22RueMuller in 2019, to imagine at the same time the development of a book.Anthology 2011 - 2019 is a non-exhaustive interpretation of the archive of our artist-run-space with the community that has lived our place.The complicated words of Mathieu Buard and those of Ingrid Luket Gad accompany the images of workshops, festivals, and other moments, public or more intimates, as well as the collections of pictures of the film.We have been created by the filmmakers.","[0, 2]",[]
c-o-m-p-o-s-i-t-e,"c-o-m-p-o-s-is-it-t-it is a non-profit contemporary art space that aims to develop projects of a multi- and variable nature by proposing a platform of support and collaboration. Through the activities carried out, our questions are about the practice of art, and how, within it, the composite configurations emerge, bind, form, stabilize, re-establish. No divisions in the foreground; no elements, no sequencing, no historical, no discipline. We propose to ask together about the capacity of art and its practices, in a broad sense, to gather possible im/materials, and how, within it, the compositions of the structure of the objects are made, whether or not made possible.",[3],[]
PLATEFORME,"Each month, Platform presents an exhibition of about two weeks following a more evental programming (performances, projections, etc.) which is mainly aimed at experimenting and research. The selection is aimed at demanding artistic practices. It offers projects of confirmed, national and international artists and those of the emerging scene. Festival Resurgentness - June, concerts / improvised music The platform is an independent structure. Space of diffusion, creation and resource for contemporary art, it works as a shared and federal space in which artists meet in the desire of a synergy of imaginary potentials.Each month, it presents an exhibition of about three weeks followed by a more evental programming (performances, projections, etc.) which is mainly aimed at experimenting and research. The selection is based on demanding artistic practices. It proposes projects of confirmed, national and international potential synergy.The platform is also designed to show the young man's designs and designs. Responsible for: François Ronsiox / David Plion / Dominique Clerc / Hugo Arcier / Philippe Calandre: Gabrielle Petiau, François Salmeron, Philippe Caldere, Pauline Lisowski, Alexandre Durand, Dominique Clerc, David Plion, Jean-Pierre Attal, Mallorzata Lempica-Brian, Marjory Sales, Marc Poitvin, Axel Mobín, Hugo Arcier, Marc Lathuillieri, Miki Nitadori, Marc Ladovic Bernhardt, Marc, Vincent Debanne, Jean-Crimmersmois, Emmanuel Gibello,",[0],"[0, 1, 2, 3, 5]"
JULIO,"JULIO is an independent space from the artist's initiative, for the experimentation in the field of contemporary creation. It seeks to give place to the projects of Argentine and international emerging artists by offering it as an area of visibility for different contexts. It is located in Paris in the vicinity of Belleville-Manilmontant. Space in Progress was launched in 2015 by the artists Maria Ibanez Lago and Constanza Piaggio. This project works for the creation and diffusion of contemporary art projects. It seeks to give place to the projects of emerging artists of different backgrounds. It is located in the center of the universe of the universe.",[4],"[1, 2, 3, 5]"
The ister,"The Ister is a curatorial collective, formed in 2011 to promote emerging local and international contemporary art practices through conferences, exhibitions, events, and performances. Although initiated in Brussels, The Ister operates itinerantly. Without any fixed space, we focus our curatorial goals on creating site-specific projects that nevertheless encompass a broad range of research fields: from the art of pigeon fancying, to the story of a artichoke pie made in the middle of the night. At all times, recurring themes of absurdity, chaos, everyday life, and historical marginalia perforate the Ister’s curatorial thematics.The Ister’s seven members – made up of artists, curators, graphic designers, and theatre managers – live and work throughout Europe, drawing in a vast and ever-expanding network of artists, thinkers, musicians, and performers together to participate in our projects.","[0, 2]","[1, 4, 5]"
General Public,"General Public is an independent project space run by a group of cultural workers (visual artists, curators, among others) based in Berlin. General Public was founded in Fall 2005 and since produced a number of exhibitions, artist presentations, discussions, film screenings, and performances. Additional to its own program General Public occasionally serves as a host for related external activities and projects.General Public aims to install and uphold a collaborative, process-related, informal platform for open thought, information exchange, spatial experiments, transdisciplinary approach and the reflection on contemporary visual and auditive culture. Allthough operating within an international network, General Public's activities are always informed by and related to its local context and situation. Far from eyeing out individuals and the market's usual taxations, direct involvement in contemporary creation and discourse on the level of production – paradoxically – ensures critical distance to take positions within what is going on around us culturally and socially.The activities of General Public are structured into distinct series (DISK Sessions, Orginalfassung, Oscillation etc), and an irregular program of exhibitions, screenings, performances, workshops, lectures and presentations. In 2010 General Public created an additional studio space for production and residencies.General Public wants to thank the people at Inn.to and the Don King Foundation for their generous support. General Public is a project of DISK – Initiative Bild und Ton e.V.",[0],"[0, 1, 3, 4, 5]"
PILOTENKUECHE,"THE CONCEPT OF THE STUDIOThe STUDIO is based in Leipzig, Germany. Selected artists from around the world are invited to come and work in the space for an individual period of 3 – 5 months or longer. Each artist is offered his own area within the 243m² space, where they have 24-hour a day access to work in that space. What the artist do with their time during the residency is up to them – the studio is something like a self running system, so that’s why it’s ever changing. THE CONCEPT PILOTENKUECHEThe PILOTENKUECHE supports artists and is an international artist-run residency & art program based in Leipzig, Germany. The non-profit institution is organized by artists for artists. The team operates with a transdisciplinary background between art, theory & diverse sciences. The goal is to provide artists a base to work on and wishes to be an opportunity to get in contact with the local art scene. The project is focusing on synergetic group dynamic, experiments, expanded strategies and transdisciplinary exchange. Selected artists from around the world are invited to come and work at our common used space for an individual period of 3- 5 months or longer. During each round at the artist residency, the group of artists transforms into a kind of synergistic collective. The artists meet to customize the space according to their wishes, to establish and to show temporary projects, to work and to live together. To boost the transfer between artists and actors of other disciplines, cultural and artistic events could be hosted at the studios and guests could be invited therefor. With the participation in our program each artist is offered in detail: selected artists participate in our events & exhibitions:- artist talks event ‘TALK TALK TALK’. Each artist of the project talks about his/her position- preview exhibtion / open studio ‘INTERVIEW’. The artists present their first works in a small group show / open studio- final exhibition. The artists present their works in a group show- weekly ‘Open Studio’ on each thursday from 14 – 18:00h- further events & shows by interest & agreement possible- individual consultations by agreement disciplines: activism, architecture, conceptual, design, digital, drawing, film, installation, intervention, mixed media, technology, intermedia, literature, painting, performance, photography, printmaking, sculpture, sound, video or other disciplines of arts language: English / German In organizing and running this residency project, it is the main goal of the members of the PILOTENKUECHE to offer a platform that encourages dialogues and exchange about artistic practice from different people, coming from different places, and working in different techniques. The PILOTENKUECHE wishes to provide our participants with the experience of accomplishing something as a group; and, moreover, in experimenting with new forms of cooperation, ideally in fostering an independent position in one’s work. PILOTENKUECHE itself was founded 2007 by Christoph Mayer as a group studio to create exchange between German and Austrian artists. With its roots in underground and punk the project is and was no white cube or neutral space. But it changed and wishes to be a bridge between its origins and established art structures, which are based at the Spinnerei complex. It keeps its roots to create alternative processes and experimental thinking about art, philosophy and social relations. With DIY approaches the project aims to be a base of improving and learning skills. The project is no full service residency! It is organized by artists for artists and provides to create intercultural collaboration together.",[0],"[0, 1, 5]"
Quobo,"Located in a factory in Berlin-Prenzlauer Berg the initiative was supported by artists and historians of art.The art in Berlin 1989 – 1999 With the fall of the Berlin Wall in November 1989, a process of political, social, economic and cultural change began, in which Berlin was always in a state of permanent reconstruction. The isolation and/or division of the city as defined by the wall ended badly on November 9, and in the east and west of the city, the solid structures of the city began to move. The next phase of the restructuring took place in autumn 1999: with the federal government of Bonn in Berlin, economic and cultural change began in which the city was always in a state of permanent reconstruction.",[0],[6]
SOX,"Sox is a non-profit contemporary art project. It is an alternative exhibition room in public space, a wine on Oranestrasse in Kreuzberg. It is an alternative showroom in public space. It is an alternative showroom in public space, a shop on Orainstrasse in Kreuzberg, 300 cm long and 60 cm deep. The window is located in one of the most animated shopping and night streets of Berlin, facing a wide variety of 24 hours per event or exhibition, which changes all 6-7 weeks and varies in its form and content. Sox is a non-profit project for contemporary art. It is an alternative showroom in public space, a shop on Orainstrasse in Kreuzberg. The window measures 225 cm in height, 300 cm in length and",[0],[]
Indecis,"Indecis Artist Run is an independent space located in Timișoara, Romania, founded in 2020 by an artist and an engineer. As a non-profit, non-hierarchical organization, our aim is to promote and cultivate dynamic relationships between contemporary art and artists of all kinds. The space is dedicated to hosting exhibitions, stimulating artistic production, publishing works, presenting and debating ideas, and offering non-formal art education programs. Indecis Artist Run has established itself in a shared space with The Secret Garden Bookshop, creating a synergistic environment that encourages dialogue and collaboration between art and theory.",[4],[]
